label,,,,,,,
Nie2026,0.3,1,3,,,,
Deng2025,0.3,1,3,,,,
He2023,0.3,1,3,,,,
Wang2024,1,3,5,,,,
Andrews2015,0.25,0.5,0.3,1,,,
Ugolini2025,0.5,1,3,5,10,,
Iorio2023,0.3,1,3,5,,,
Broekgaarden2022,0.25,0.5,0.75,1,2,10,
Bavera2021,0.2,0.35,0.5,0.75,1,2,5
Boesky2024,0.1,0.5,1,2,10,,
Li2025,0.5,1,2,,,,
Sgalletta2025,0.5,1,3,5,,,
Mapelli18,1,3,5,,,,
Giacobbo18,1,3,5,,,,
Baibhav19,1,3,5,,,,
Giacobbo20,1,2,3,4,5,,
Mapelli20,1,5,10,,,,
Santoliquido20,0.5,1,2,3,5,7,10
